A3,1.0.0,Accurate, Adaptable, and Accessible Error Metrics for Predictive Models
abbyyR,0.5.1,Access to Abbyy Optical Character Recognition (OCR) API 
abc,2.1,Tools for Approximate Bayesian Computation (ABC) 
abc.data,1.0,Data Only: Tools for Approximate Bayesian Computation (ABC) 
ABC.RAP,0.9.0,Array Based CpG Region Analysis Pipeline 
ABCanalysis,1.2.1,Computed ABC Analysis 
abcdeFBA,0.4,ABCDE_FBA: A-Biologist-Can-Do-Everything of Flux Balance Analysis with this package
ABCoptim,0.14.0,Implementation of Artificial Bee Colony (ABC) Optimization 
ABCp2,1.2,Approximate Bayesian Computational Model for Estimating P2 
abcrf,1.5,Approximate Bayesian Computation via Random Forests 
abctools,1.1.1,Tools for ABC Analyses 
abd,0.2-8,The Analysis of Biological Data 
abf2,0.7-1,Load Gap-Free Axon ABF2 Files 
ABHgenotypeR,1.0.1,Easy Visualization of ABH Genotypes 
abind,1.4-5,Combine Multidimensional Arrays 
abjutils,0.0.1,Useful Tools for Jurimetrical Analysis Used by the Brazilian Jurimetrics Association
abn,1.0.2,Modelling Multivariate Data with Additive Bayesian Networks 
abodOutlier,0.1,Angle-Based Outlier Detection 
AbsFilterGSEA,1.5,Improved False Positive Control of Gene-Permuting GSEA with Absolute Filtering
AbSim,0.2.1,Time Resolved Simulations of Antibody Repertoires 
abundant,1.1,High-Dimensional Principal Fitted Components and Abundant Regression
ACA,1.0,Abrupt Change-Point or Aberration Detection in Point Series 
acc,1.3.3,Exploring Accelerometer Data 
accelerometry,2.2.5,Functions for Processing Minute-to-Minute Accelerometer Data 
accelmissing,1.1,Missing Value Imputation for Accelerometer Data 
AcceptanceSampling,1.0-5,Creation and Evaluation of Acceptance Sampling Plans 
ACCLMA,1.0,ACC &amp; LMA Graph Plotting 
accrual,1.2,Bayesian Accrual Prediction 
accrued,1.4.1,Data Quality Visualization Tools for Partially Accruing Data 
ACD,1.5.3,Categorical data analysis with complete or missing responses 
ACDm,1.0.4,Tools for Autoregressive Conditional Duration Models 
acebayes,1.4,Optimal Bayesian Experimental Design using the ACE Algorithm 
acepack,1.4.1,ACE and AVAS for Selecting Multiple Regression Transformations 
ACEt,1.8.0,Estimating Dynamic Heritability and Twin Model Comparison 
acid,1.1,Analysing Conditional Income Distributions 
acm4r,1.0,Align-and-Count Method comparisons of RFLP data 
ACMEeqtl,1.4,Estimation of Interpretable eQTL Effect Sizes Using a Log of Linear Model
acmeR,1.1.0,Implements ACME Estimator of Bird and Bat Mortality by Wind Turbines
ACNE,0.8.1,Affymetrix SNP Probe-Summarization using Non-Negative Matrix Factorization
acnr,1.0.0,Annotated Copy-Number Regions 
acopula,0.9.2,Modelling dependence with multivariate Archimax (or any user-defined continuous) copulas
AcousticNDLCodeR,1.0.1,Coding Sound Files for Use with NDL 
acp,2.1,Autoregressive Conditional Poisson 
aCRM,0.1.1,Convenience functions for analytical Customer Relationship Management
AcrossTic,1.0-3,A Cost-Minimal Regular Spanning Subgraph with TreeClust 
acrt,1.0.1,Autocorrelation Robust Testing 
acs,2.0,Download, Manipulate, and Present American Community Survey and Decennial Data from the US Census
ACSNMineR,0.16.8.25,Gene Enrichment Analysis from ACSN Maps or GMT Files 
acss,0.2-5,Algorithmic Complexity for Short Strings 
acss.data,1.0,Data Only: Algorithmic Complexity of Short Strings (Computed via Coding Theorem Method)
ACSWR,1.0,A Companion Package for the Book "A Course in Statistics with R" 
ACTCD,1.1-0,Asymptotic Classification Theory for Cognitive Diagnosis 
Actigraphy,1.3.2,Actigraphy Data Analysis 
activity,1.1,Animal Activity Statistics 
activpalProcessing,1.0.2,Process activPAL Events Files 
actuar,2.1-1,Actuarial Functions and Heavy Tailed Distributions 
ActuDistns,3.0,Functions for actuarial scientists 
AcuityView,0.1,A Package for Displaying Visual Scenes as They May Appear to an Animal with Lower Acuity
ada,2.0-5,The R Package Ada for Stochastic Boosting 
adabag,4.1,Applies Multiclass AdaBoost.M1, SAMME and Bagging 
